======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=  125 a= 14(BUILD:Road) r= -4.3012 cum=   -149.37 v= +4.5518 top5=[a43=0.031, a11=0.031, a39=0.030, a41=0.028, a34=0.027]
  s=  126 a=  2(BUILD:WaterChannel) r= -1.0817 cum=   -150.45 v= +4.6080 top5=[a11=0.032, a39=0.030, a43=0.030, a6=0.027, a41=0.027]
  s=  127 a= 11(BUILD:Goldmine) r= -1.0864 cum=   -151.54 v= +4.7077 top5=[a11=0.032, a39=0.030, a43=0.029, a6=0.028, a34=0.028]
  s=  128 a= 11(BUILD:Goldmine) r= -4.3206 cum=   -155.86 v= +4.7103 top5=[a11=0.032, a39=0.030, a43=0.029, a6=0.028, a34=0.027]
  s=  129 a= 24(BUILD:Hothouse) r= -1.0903 cum=   -156.95 v= +4.7069 top5=[a11=0.032, a39=0.031, a43=0.029, a6=0.028, a34=0.027]
  s=  130 a=  4(BUILD:Garden) r= -0.9395 cum=   -157.89 v= +4.7059 top5=[a11=0.032, a39=0.031, a43=0.029, a6=0.028, a34=0.027]
  s=  131 a= 32(BUILD:SmallAtomStation) r= -4.3393 cum=   -162.23 v= +4.7035 top5=[a11=0.032, a39=0.031, a43=0.030, a6=0.028, a34=0.027]
  s=  132 a= 37(MANAGER:3) r= -4.3255 cum=   -166.56 v= +4.6991 top5=[a11=0.032, a39=0.031, a43=0.030, a6=0.028, a34=0.027]
  s=  133 a=  9(BUILD:Ironmine) r= -1.0970 cum=   -167.65 v= +5.0408 top5=[a11=0.033, a39=0.031, a43=0.031, a34=0.029, a6=0.029]
  s=  134 a=  0(DAY) r= -4.3286 cum=   -171.98 v= +5.0409 top5=[a11=0.033, a39=0.031, a43=0.031, a6=0.029, a34=0.029]
  s=  135 a= 24(BUILD:Hothouse) r= -1.1096 cum=   -173.09 v= +4.9871 top5=[a11=0.034, a39=0.032, a9=0.030, a43=0.030, a34=0.029]
  s=  136 a= 28(BUILD:BigRefinary) r= -1.1154 cum=   -174.21 v= +3.9668 top5=[a21=0.038, a44=0.033, a25=0.033, a14=0.033, a43=0.032]
  s=  137 a= 43(MANAGER:9) r= -4.3475 cum=   -178.55 v= +3.3893 top5=[a21=0.034, a43=0.033, a11=0.031, a14=0.031, a25=0.031]
  s=  138 a= 14(BUILD:Road) r= -1.1204 cum=   -179.67 v= +3.4154 top5=[a43=0.033, a11=0.032, a41=0.031, a9=0.030, a39=0.030]
  s=  139 a= 18(BUILD:CowFarm) r= -1.1249 cum=   -180.80 v= +3.3349 top5=[a43=0.033, a11=0.032, a41=0.031, a39=0.031, a9=0.030]
  s=  140 a= 33(BUILD:AtomStation) r= -4.3659 cum=   -185.16 v= +3.3105 top5=[a43=0.033, a11=0.032, a39=0.031, a41=0.031, a9=0.030]
  s=  141 a= 39(MANAGER:5) r= -1.1290 cum=   -186.29 v= +3.2817 top5=[a43=0.033, a11=0.032, a39=0.032, a41=0.030, a9=0.030]
  s=  142 a= 36(MANAGER:2) r= +0.0957 cum=   -186.20 v= +3.2427 top5=[a43=0.033, a11=0.033, a39=0.032, a41=0.030, a9=0.030]
  s=  143 a= 27(BUILD:WaterMill) r= -4.3783 cum=   -190.58 v= +3.1525 top5=[a43=0.033, a39=0.033, a11=0.033, a9=0.030, a41=0.030]
  s=  144 a= 35(MANAGER:1) r= -1.1382 cum=   -191.71 v= +3.1713 top5=[a39=0.033, a43=0.033, a11=0.033, a9=0.030, a41=0.030]
  s=  145 a=  1(WEEK) r= -4.3809 cum=   -196.10 v= +3.1572 top5=[a39=0.033, a43=0.033, a11=0.033, a9=0.030, a41=0.030]
  s=  146 a= 27(BUILD:WaterMill) r= -4.3690 cum=   -200.46 v= +2.3476 top5=[a11=0.032, a41=0.030, a8=0.029, a9=0.028, a39=0.028]
