======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=  105 a=  6(BUILD:SmallHouse) r= -0.6651 cum=   -103.47 v= +6.0549 top5=[a39=0.035, a43=0.031, a14=0.029, a8=0.028, a24=0.028] [BUILD: SmallHouse]
  s=  106 a= 11(BUILD:Goldmine) r= -0.6684 cum=   -104.14 v= +5.9337 top5=[a39=0.035, a43=0.031, a8=0.028, a14=0.028, a24=0.028] [BUILD: Goldmine]
  s=  107 a= 21(BUILD:BigFarm) r= -4.2886 cum=   -108.43 v= +5.8306 top5=[a39=0.035, a43=0.031, a8=0.028, a41=0.028, a24=0.028] [BUILD FAILED: BigFarm]
  s=  108 a= 24(BUILD:Hothouse) r= -0.6710 cum=   -109.10 v= +5.7802 top5=[a39=0.035, a43=0.031, a8=0.028, a41=0.028, a24=0.028] [BUILD: Hothouse]
  s=  109 a= 17(BUILD:HuntingLand) r= -0.6742 cum=   -109.77 v= +5.7541 top5=[a39=0.035, a43=0.031, a41=0.028, a8=0.028, a24=0.028] [BUILD: HuntingLand]
  s=  110 a= 19(BUILD:Mushroom) r= -4.3068 cum=   -114.08 v= +5.7194 top5=[a39=0.036, a43=0.031, a41=0.028, a8=0.028, a11=0.028] [BUILD FAILED: Mushroom]
  s=  111 a=  0(DAY) r= -0.2410 cum=   -114.32 v= +5.6798 top5=[a39=0.036, a43=0.031, a41=0.028, a11=0.028, a8=0.027]
  s=  112 a= 44(MANAGER:10) r= -0.0299 cum=   -114.35 v= +5.6396 top5=[a39=0.036, a43=0.031, a11=0.028, a41=0.028, a8=0.027]
  s=  113 a= 30(BUILD:BigIronmine) r= -4.3196 cum=   -118.67 v= +5.6250 top5=[a39=0.036, a43=0.031, a11=0.028, a41=0.028, a8=0.027] [BUILD FAILED: BigIronmine]
  s=  114 a=  4(BUILD:Garden) r= -0.6795 cum=   -119.35 v= +5.6087 top5=[a39=0.036, a43=0.031, a11=0.028, a41=0.028, a8=0.027] [BUILD: Garden]
  s=  115 a=  2(BUILD:WaterChannel) r= -0.6826 cum=   -120.03 v= +5.5933 top5=[a39=0.036, a43=0.031, a11=0.028, a41=0.028, a24=0.027] [BUILD: WaterChannel]
  s=  116 a= 10(BUILD:Refinery) r= -4.3364 cum=   -124.37 v= +5.5776 top5=[a39=0.037, a43=0.031, a11=0.028, a41=0.027, a25=0.027] [BUILD FAILED: Refinery]
  s=  117 a= 41(MANAGER:7) r= -0.6851 cum=   -125.05 v= +5.5544 top5=[a39=0.037, a43=0.031, a11=0.028, a41=0.027, a25=0.027]
  s=  118 a= 21(BUILD:BigFarm) r= -0.6839 cum=   -125.74 v= +5.5191 top5=[a39=0.037, a43=0.031, a11=0.028, a41=0.028, a25=0.027] [BUILD: BigFarm]
  s=  119 a= 10(BUILD:Refinery) r= -4.3526 cum=   -130.09 v= +5.4833 top5=[a39=0.037, a43=0.031, a11=0.028, a41=0.027, a25=0.027] [BUILD FAILED: Refinery]
  s=  120 a= 27(BUILD:WaterMill) r= -0.6906 cum=   -130.78 v= +5.4336 top5=[a39=0.037, a43=0.032, a11=0.028, a41=0.027, a25=0.027] [BUILD: WaterMill]
  s=  121 a= 42(MANAGER:8) r= -0.5850 cum=   -131.37 v= +5.3502 top5=[a39=0.037, a43=0.032, a11=0.028, a41=0.027, a25=0.027]
  s=  122 a= 12(BUILD:PowerStation) r= +0.0499 cum=   -131.32 v= +0.6119 top5=[a43=0.036, a39=0.036, a11=0.029, a8=0.028, a34=0.028] [BUILD: PowerStation]
  s=  123 a=  9(BUILD:Ironmine) r= -1.0227 cum=   -132.34 v= +1.2375 top5=[a43=0.037, a39=0.035, a11=0.028, a19=0.028, a34=0.027] [BUILD FAILED: Ironmine]
  s=  124 a= 20(BUILD:BigHouse) r= -4.3988 cum=   -136.74 v= +1.3141 top5=[a43=0.037, a39=0.035, a11=0.028, a19=0.028, a34=0.027] [BUILD FAILED: BigHouse]
  s=  125 a= 10(BUILD:Refinery) r= -1.0266 cum=   -137.76 v= +1.3689 top5=[a43=0.037, a39=0.035, a11=0.028, a19=0.028, a34=0.027] [BUILD FAILED: Refinery]
  s=  126 a=  2(BUILD:WaterChannel) r= +0.6392 cum=   -137.13 v= +1.4138 top5=[a43=0.037, a39=0.035, a19=0.028, a11=0.028, a34=0.027] [BUILD: WaterChannel]
  s=  127 a= 32(BUILD:SmallAtomStation) r= -1.0397 cum=   -138.16 v= +1.9476 top5=[a43=0.038, a39=0.034, a11=0.028, a34=0.028, a19=0.027] [BUILD FAILED: SmallAtomStation]
  s=  128 a= 38(MANAGER:4) r= -3.6988 cum=   -141.86 v= +1.9987 top5=[a43=0.038, a39=0.034, a11=0.028, a34=0.028, a19=0.027]
  s=  129 a=  7(BUILD:Sawmill) r= -1.0455 cum=   -142.91 v= +3.6674 top5=[a43=0.041, a39=0.037, a11=0.030, a25=0.030, a17=0.027] [BUILD FAILED: Sawmill]
  s=  130 a=  3(BUILD:Farm) r= +0.6488 cum=   -142.26 v= +3.7069 top5=[a43=0.041, a39=0.037, a25=0.030, a11=0.030, a17=0.028] [BUILD: Farm]
  s=  131 a= 22(BUILD:Apiary) r= +2.5042 cum=   -139.76 v= +3.3007 top5=[a43=0.041, a39=0.036, a11=0.031, a25=0.031, a41=0.030] [BUILD: Apiary]
