======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   89 a= 25(BUILD:SuperHouse) r= -4.3252 cum=   -108.10 v= +9.7309 top5=[a43=0.058, a34=0.042, a11=0.040, a27=0.035, a14=0.030] [BUILD FAILED: SuperHouse]
  s=   90 a= 20(BUILD:BigHouse) r= -2.7018 cum=   -110.80 v= +9.3829 top5=[a43=0.055, a34=0.039, a11=0.036, a27=0.033, a14=0.029] [BUILD FAILED: BigHouse]
  s=   91 a= 10(BUILD:Refinery) r= -0.9229 cum=   -111.73 v=+10.0506 top5=[a43=0.052, a34=0.040, a11=0.036, a39=0.032, a27=0.031] [BUILD: Refinery]
  s=   92 a= 39(MANAGER:5) r= -3.5350 cum=   -115.26 v= +9.6381 top5=[a43=0.050, a34=0.038, a11=0.035, a39=0.032, a16=0.030]
  s=   93 a= 30(BUILD:BigIronmine) r= -0.0627 cum=   -115.32 v= +7.3312 top5=[a43=0.047, a34=0.036, a11=0.033, a39=0.031, a41=0.029] [BUILD: BigIronmine]
  s=   94 a= 22(BUILD:Apiary) r= -0.9370 cum=   -116.26 v= +7.0639 top5=[a43=0.045, a34=0.035, a11=0.033, a39=0.031, a41=0.029] [BUILD: Apiary]
  s=   95 a= 24(BUILD:Hothouse) r= -4.3797 cum=   -120.64 v= +6.8361 top5=[a43=0.044, a34=0.034, a11=0.032, a39=0.031, a41=0.029] [BUILD FAILED: Hothouse]
  s=   96 a= 40(MANAGER:6) r= -0.4066 cum=   -121.05 v= +6.6311 top5=[a43=0.044, a34=0.033, a11=0.032, a39=0.031, a41=0.029]
  s=   97 a= 19(BUILD:Mushroom) r= -0.9451 cum=   -121.99 v= +6.4543 top5=[a43=0.043, a34=0.033, a39=0.031, a11=0.031, a41=0.029] [BUILD: Mushroom]
  s=   98 a= 36(MANAGER:2) r= -4.4004 cum=   -126.39 v= +6.2842 top5=[a43=0.043, a34=0.032, a39=0.031, a11=0.031, a41=0.029]
  s=   99 a= 44(MANAGER:10) r= -0.2915 cum=   -126.68 v= +6.1055 top5=[a43=0.042, a34=0.032, a39=0.031, a11=0.030, a41=0.028]
  s=  100 a= 39(MANAGER:5) r= -0.9528 cum=   -127.64 v= +5.9837 top5=[a43=0.042, a39=0.032, a34=0.031, a11=0.030, a41=0.028]
    state: year=0 month=6 season=1 money=4806 credit=103448 people=28 busy=0 free=28 home_places=50 need_workers=5 tax_due=0 main_tax_due=0 tax_amount=7218 main_tax_amount=0 days_alive=107 stage=0 res0=0 res1=200 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Farm=1 Road=1 House=1 BigHouse=2 Apiary=1 | nw=1527983.3977
  s=  101 a=  8(BUILD:Coalmine) r= -4.4190 cum=   -132.06 v= +5.8726 top5=[a43=0.041, a39=0.032, a34=0.031, a11=0.030, a41=0.028] [BUILD FAILED: Coalmine]
  s=  102 a= 22(BUILD:Apiary) r= -0.9519 cum=   -133.01 v= +5.7714 top5=[a43=0.041, a39=0.032, a34=0.030, a11=0.030, a41=0.028] [BUILD: Apiary]
