======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=  100 a= 39(MANAGER:5) r= +1.9844 cum=    +33.96 v= +6.5942 top5=[a38=0.224, a39=0.224, a36=0.044, a44=0.041, a12=0.038]
    state: year=0 month=6 season=1 money=1410 credit=0 people=28 busy=3 free=25 home_places=50 need_workers=3 tax_due=0 main_tax_due=0 tax_amount=6802 main_tax_amount=0 days_alive=113 stage=0 res0=0 res1=400 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Garden=1 Road=2 Apiary=1 Puerperal=1 AirStation=1 | nw=1530387.3534
  s=  101 a=  7(BUILD:Sawmill) r= -0.4107 cum=    +33.55 v= +5.4383 top5=[a38=0.221, a39=0.186, a44=0.040, a36=0.039, a12=0.039]
  s=  102 a= 38(MANAGER:4) r= +1.9866 cum=    +35.53 v= +5.4744 top5=[a38=0.213, a39=0.182, a44=0.040, a12=0.039, a36=0.038]
  s=  103 a= 40(MANAGER:6) r= +0.3232 cum=    +35.86 v= +6.7443 top5=[a39=0.210, a38=0.207, a36=0.040, a44=0.040, a12=0.038]
  s=  104 a= 19(BUILD:Mushroom) r= -0.4143 cum=    +35.44 v= +6.8178 top5=[a39=0.206, a38=0.202, a44=0.039, a36=0.039, a12=0.038]
  s=  105 a= 38(MANAGER:4) r= +1.9979 cum=    +37.44 v= +6.8541 top5=[a39=0.203, a38=0.197, a44=0.039, a12=0.038, a36=0.037]
  s=  106 a= 39(MANAGER:5) r= +2.0094 cum=    +39.45 v= +7.3533 top5=[a39=0.244, a38=0.188, a44=0.038, a36=0.037, a12=0.036]
  s=  107 a= 11(BUILD:Goldmine) r= -0.4159 cum=    +39.03 v= +6.7200 top5=[a39=0.198, a38=0.188, a44=0.039, a12=0.038, a36=0.035]
  s=  108 a= 15(BUILD:Fish) r= -3.4454 cum=    +35.59 v= +6.6270 top5=[a39=0.196, a38=0.183, a44=0.039, a12=0.038, a36=0.033]
  s=  109 a= 39(MANAGER:5) r= +1.9677 cum=    +37.56 v= +6.5272 top5=[a39=0.193, a38=0.179, a44=0.039, a12=0.038, a0=0.033]
  s=  110 a= 40(MANAGER:6) r= -0.4097 cum=    +37.15 v= +1.9782 top5=[a38=0.184, a39=0.153, a44=0.055, a36=0.040, a0=0.036]
  s=  111 a= 28(BUILD:BigRefinary) r= -0.4098 cum=    +36.74 v= +2.0400 top5=[a38=0.180, a39=0.151, a44=0.055, a36=0.040, a0=0.036]
  s=  112 a= 35(MANAGER:1) r= +0.2755 cum=    +37.01 v= +2.1247 top5=[a38=0.177, a39=0.149, a44=0.054, a36=0.039, a0=0.036]
  s=  113 a= 38(MANAGER:4) r= +1.9909 cum=    +39.00 v= +2.2301 top5=[a38=0.174, a39=0.146, a44=0.053, a36=0.039, a0=0.036]
  s=  114 a= 39(MANAGER:5) r= +1.9909 cum=    +40.99 v= +3.9933 top5=[a39=0.175, a38=0.174, a44=0.053, a36=0.042, a0=0.038]
  s=  115 a= 35(MANAGER:1) r= +0.2038 cum=    +41.20 v= +2.3828 top5=[a38=0.167, a39=0.142, a44=0.052, a36=0.038, a0=0.035]
  s=  116 a= 33(BUILD:AtomStation) r= -0.4047 cum=    +40.79 v= +2.4318 top5=[a38=0.165, a39=0.140, a44=0.051, a36=0.037, a0=0.035]
  s=  117 a=  0(DAY) r= +0.1884 cum=    +40.98 v= +2.4333 top5=[a38=0.162, a39=0.139, a44=0.051, a36=0.036, a0=0.035]
  s=  118 a= 25(BUILD:SuperHouse) r= -3.4617 cum=    +37.52 v= +2.4171 top5=[a38=0.159, a39=0.137, a44=0.050, a36=0.036, a0=0.035]
  s=  119 a= 44(MANAGER:10) r= +0.4848 cum=    +38.00 v= +2.3885 top5=[a38=0.156, a39=0.135, a44=0.049, a36=0.035, a0=0.035]
  s=  120 a= 34(MANAGER:0) r= -0.4137 cum=    +37.59 v= +2.3573 top5=[a38=0.154, a39=0.133, a44=0.049, a0=0.034, a36=0.034]
  s=  121 a= 33(BUILD:AtomStation) r= -0.4138 cum=    +37.18 v= +2.3376 top5=[a38=0.152, a39=0.131, a44=0.048, a0=0.034, a36=0.034]
  s=  122 a=  0(DAY) r= +0.1878 cum=    +37.36 v= +2.2989 top5=[a38=0.149, a39=0.129, a44=0.047, a0=0.034, a36=0.033]
  s=  123 a= 39(MANAGER:5) r= +2.0102 cum=    +39.37 v= +2.2574 top5=[a38=0.147, a39=0.128, a44=0.047, a0=0.034, a36=0.032]
  s=  124 a= 21(BUILD:BigFarm) r= -0.4180 cum=    +38.96 v= +5.3684 top5=[a38=0.167, a39=0.134, a44=0.051, a0=0.041, a12=0.033]
  s=  125 a= 43(MANAGER:9) r= -0.4194 cum=    +38.54 v= +5.0381 top5=[a38=0.160, a39=0.129, a44=0.049, a0=0.040, a12=0.033]
  s=  126 a= 18(BUILD:CowFarm) r= -0.4207 cum=    +38.12 v= +4.8873 top5=[a38=0.155, a39=0.125, a44=0.048, a0=0.039, a12=0.033]
  s=  127 a=  9(BUILD:Ironmine) r= -0.4220 cum=    +37.69 v= +4.8441 top5=[a38=0.151, a39=0.123, a44=0.047, a0=0.039, a12=0.033]
  s=  128 a= 23(BUILD:Torchlight) r= -3.4947 cum=    +34.20 v= +4.8374 top5=[a38=0.147, a39=0.120, a44=0.046, a0=0.038, a12=0.033]
  s=  129 a= 39(MANAGER:5) r= +2.0007 cum=    +36.20 v= +4.8100 top5=[a38=0.144, a39=0.117, a44=0.045, a0=0.038, a12=0.033]
  s=  130 a= 38(MANAGER:4) r= +2.0000 cum=    +38.20 v= +2.7291 top5=[a38=0.626, a39=0.089, a0=0.027, a44=0.025, a24=0.016]
  s=  131 a= 38(MANAGER:4) r= +1.9994 cum=    +40.20 v= +5.4540 top5=[a38=0.395, a39=0.134, a44=0.036, a0=0.032, a24=0.022]
  s=  132 a= 20(BUILD:BigHouse) r= -0.4161 cum=    +39.78 v= +7.3343 top5=[a38=0.286, a39=0.161, a44=0.039, a0=0.035, a24=0.024]
  s=  133 a= 38(MANAGER:4) r= +2.0050 cum=    +41.79 v= +7.5629 top5=[a38=0.240, a39=0.156, a44=0.039, a0=0.036, a24=0.025]
  s=  134 a= 39(MANAGER:5) r= +2.0045 cum=    +43.79 v= +8.5586 top5=[a38=0.211, a39=0.201, a44=0.039, a0=0.038, a24=0.026]
  s=  135 a= 22(BUILD:Apiary) r= -0.4056 cum=    +43.39 v= +7.0659 top5=[a38=0.200, a39=0.148, a44=0.039, a0=0.037, a24=0.027]
  s=  136 a= 38(MANAGER:4) r= +2.0101 cum=    +45.40 v= +6.6671 top5=[a38=0.190, a39=0.146, a44=0.039, a0=0.037, a24=0.027]
  s=  137 a= 12(BUILD:PowerStation) r= +1.0749 cum=    +46.47 v= +7.8351 top5=[a39=0.190, a38=0.185, a44=0.039, a0=0.038, a24=0.027]
  s=  138 a= 41(MANAGER:7) r= -0.4195 cum=    +46.05 v= +7.3827 top5=[a38=0.202, a39=0.184, a44=0.043, a0=0.035, a24=0.025]
  s=  139 a= 38(MANAGER:4) r= +2.0270 cum=    +48.08 v= +7.4761 top5=[a38=0.196, a39=0.182, a44=0.043, a0=0.035, a24=0.026]
  s=  140 a= 39(MANAGER:5) r= +2.0206 cum=    +50.10 v= +4.9165 top5=[a39=0.215, a38=0.143, a44=0.043, a0=0.034, a12=0.029]
  s=  141 a= 24(BUILD:Hothouse) r= -0.4205 cum=    +49.68 v= -1.2810 top5=[a39=0.150, a38=0.140, a44=0.060, a0=0.037, a36=0.030]
  s=  142 a= 39(MANAGER:5) r= +2.0258 cum=    +51.71 v= -1.1922 top5=[a39=0.149, a38=0.139, a44=0.059, a0=0.036, a36=0.030]
  s=  143 a= 38(MANAGER:4) r= +2.0254 cum=    +53.73 v= -2.7810 top5=[a38=0.133, a39=0.119, a44=0.057, a0=0.033, a29=0.028]
  s=  144 a= 39(MANAGER:5) r= +2.0252 cum=    +55.76 v= -2.4984 top5=[a39=0.143, a38=0.130, a44=0.057, a0=0.039, a36=0.034]
  s=  145 a= 38(MANAGER:4) r= +2.0250 cum=    +57.78 v= -4.6670 top5=[a38=0.126, a39=0.112, a44=0.055, a0=0.035, a36=0.031]
  s=  146 a= 19(BUILD:Mushroom) r= -3.4797 cum=    +54.30 v= -2.2397 top5=[a39=0.144, a38=0.129, a44=0.055, a0=0.038, a36=0.033]
  s=  147 a= 29(BUILD:Puerperal) r= -0.4152 cum=    +53.89 v= -2.1029 top5=[a39=0.145, a38=0.129, a44=0.054, a0=0.038, a36=0.032]
