STEP 47 | MGR:credit_take | total=-1.149 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52229e+06 pop=29 bases=1 money=182000 credit=109713 day=47
STEP 48 | MGR:credit_take | total=-1.150 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52207e+06 pop=29 bases=1 money=182000 credit=109932 day=48
STEP 49 | MGR:credit_take | total=-1.151 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52185e+06 pop=29 bases=1 money=182000 credit=110151 day=49
STEP 50 | MGR:credit_take | total=-6.152 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=-5.000 gover=0.000 | nw=1.52163e+06 pop=29 bases=1 money=182000 credit=110371 day=50
STEP 51 | MGR:credit_take | total=-1.153 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52141e+06 pop=29 bases=1 money=182000 credit=110591 day=51
STEP 52 | MGR:credit_take | total=-1.154 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52119e+06 pop=29 bases=1 money=182000 credit=110812 day=52
STEP 53 | MGR:credit_take | total=-1.155 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52097e+06 pop=29 bases=1 money=182000 credit=111033 day=53
STEP 54 | MGR:credit_take | total=-1.156 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52074e+06 pop=29 bases=1 money=182000 credit=111255 day=54
STEP 55 | MGR:credit_take | total=-1.157 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52052e+06 pop=29 bases=1 money=182000 credit=111477 day=55
STEP 56 | MGR:credit_take | total=-1.158 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.5203e+06 pop=29 bases=1 money=182000 credit=111699 day=56
